id,Datetime,tweet,clean,Tweet_len,hashtags,n_htags,word_count,ev_emoji,stopwords,stem,emotion,polarity
"1,25897E+18",2020-05-09 3:43:57,"RT @skitvomfeinsten: +++++++ GOD AlWAYS WIN +++++++

Birds disconnecting Cables from a 5G Tower 

#QAnon #WWG1WGA #WORLDWIDE #5G #Tower #JE…",rt  skitvomfeinsten          god always win         birds disconnecting cables from a 5g tower  qanon  wwg1wga  worldwide  5g  tower  je ,140,"{'JE…', '5G', 'WWG1WGA', 'Tower', 'WORLDWIDE', 'QAnon'}",6,20,0,rt skitvomfeinsten god always win birds disconnecting cables 5g tower qanon wwg1wga worldwide 5g tower,rt skitvomfeinsten god alway win bird disconnect cabl 5g tower qanon wwg 1wga worldwid 5g tower je,0.8,1
1258470733879148547,2020-05-07 18:56:18,"RT @HalladayIn: @outofcontroljb @kaitlancollins The Covid-positive valet is part of the deep state, placed there by the fake news CNN, with…",rt  halladayin   outofcontroljb  kaitlancollins the covid positive valet is part of the deep state placed there by the fake news cnn with ,140,set(),0,21,0,rt halladayin outofcontroljb kaitlancollins covid positive valet part deep state placed fake news cnn,rt halladayin outofcontroljb kaitlancollin covid posit valet part deep state place fake news cnn,-0.0909090909090909,-1
1258470843597889537,2020-05-07 18:56:45,RT @matthaig1: Hi conspiracy theorists! A few q’s. If 5G is related to Coronavirus how come Italy and Iran have covid but no 5G? Also why w…,rt  matthaig1  hi conspiracy theorists  a few q s if 5g is related to coronavirus how come italy and iran have covid but no 5g  also why w ,140,set(),0,27,0,rt matthaig1 hi conspiracy theorists q 5g related coronavirus italy iran covid 5g w,rt matthaig 1 hi conspiraci theorist q 5g relat coronaviru come itali iran covid 5g also whi w,-0.1,-1
1258470857325686785,2020-05-07 18:56:48,RT @panos941: People beginning to lose it 😬&gt;Almost 80 mobile towers have reportedly been burned down in the UK due to false coronavirus con…,rt  panos941  people beginning to lose it   gt almost 80 mobile towers have reportedly been burned down in the uk due to false coronavirus con ,143,set(),0,24,0,rt panos941 people beginning lose gt almost 80 mobile towers reportedly burned uk due false coronavirus,rt pano 941 peopl begin lose gt almost 80 mobil tower reportedli burn uk due fals coronaviru con,-0.22685185185185186,-1
1258470865286635522,2020-05-07 18:56:50,"RT @ZaidZamanHamid: This is one of the most important reasons why they launched #Covid_19 drama....
I had already explained you this weeks…",rt  zaidzamanhamid  this is one of the most important reasons why they launched  covid 19 drama i had already explained you this weeks ,139,{'Covid_19'},1,22,0,rt zaidzamanhamid important reasons launched covid 19 drama already explained weeks,rt zaidzamanhamid thi one import reason whi launch covid 19 drama alreadi explain thi week,0.45,1
1258470879983534080,2020-05-07 18:56:53,RT @panos941: People beginning to lose it 😬&gt;Almost 80 mobile towers have reportedly been burned down in the UK due to false coronavirus con…,rt  panos941  people beginning to lose it   gt almost 80 mobile towers have reportedly been burned down in the uk due to false coronavirus con ,143,set(),0,24,0,rt panos941 people beginning lose gt almost 80 mobile towers reportedly burned uk due false coronavirus,rt pano 941 peopl begin lose gt almost 80 mobil tower reportedli burn uk due fals coronaviru con,-0.22685185185185186,-1
1258471189783162881,2020-05-07 18:58:07,"COVID-19 and the 5G Conspiracy Theory: Social Network Analysis of Twitter Data
https://t.co/eRrxCFLQci

#PhDChat #SocialMedia #Health #COVID19 #Coronavirus 
@jmirpub https://t.co/x9KRkrME3V",covid 19 and the 5g conspiracy theory  social network analysis of twitter data  phdchat  socialmedia  health  covid19  coronavirus  jmirpub,189,"{'SocialMedia', 'Health', 'COVID19', 'PhDChat', 'Coronavirus'}",5,20,0,covid 19 5g conspiracy theory social network analysis twitter data phdchat socialmedia health covid19 coronavirus jmirpub,covid 19 5g conspiraci theori social network analysi twitter data phdchat socialmedia health covid 19 coronaviru jmirpub,0.03333333333333333,1
1258471220691042309,2020-05-07 18:58:14,"RT @LondonRealTV: WE ARE LIVE NOW with General Robert Spalding EXCLUSIVELY on our new DIGITAL FREEDOM PLATFORM, come and watch as Brian Ros…",rt  londonrealtv  we are live now with general robert spalding exclusively on our new digital freedom platform come and watch as brian ros ,140,set(),0,23,0,rt londonrealtv live general robert spalding exclusively new digital freedom platform watch brian ros,rt londonrealtv live gener robert spald exclus new digit freedom platform come watch brian ro,0.08068181818181819,1
1258471433258389507,2020-05-07 18:59:05,"RT @TheNewTMoDude: Alright alright alright! What a Q1! 2.5Ghz went live, @TMobile Connect launched, and posted record low churn, all while…",rt  thenewtmodude  alright alright alright  what a q1  25ghz went live  tmobile connect launched and posted record low churn all while ,139,set(),0,21,0,rt thenewtmodude alright alright alright q1 25ghz went live tmobile connect launched posted record low churn,rt thenewtmodud alright alright alright q1 25ghz went live tmobil connect launch post record low churn,0.06818181818181818,1
1258471467680968707,2020-05-07 18:59:13,"RT @was3210: COVID-19 and the 5G Conspiracy Theory: Social Network Analysis of Twitter Data
https://t.co/eRrxCFLQci

#PhDChat #SocialMedia…",rt  was3210  covid 19 and the 5g conspiracy theory  social network analysis of twitter data  phdchat  socialmedia ,139,"{'PhDChat', 'SocialMedia…'}",2,17,0,rt was3210 covid 19 5g conspiracy theory social network analysis twitter data phdchat socialmedia,rt wa 3210 covid 19 5g conspiraci theori social network analysi twitter data phdchat socialmedia,0.03333333333333333,1
