id,tweet,emotion,clean,Tweet_len,hashtags,n_htags,word_count,ev_emoji,stopwords,stem,polarity
1255337686510055424,"TIME TO PLAN YOUR END OF YEAR PARTY!
We are now taking bookings for ""End of Iso"" functions.
We have flexible COVID-19 terms &amp; conditions available for your peace of mind. 
Contact Vicki Dunn at: functions@srgc.net.au… https://t.co/v3IyDsvjjd",0.4,time to plan your end of year party  we are now taking bookings for  end of iso  functions we have flexible covid 19 terms   conditions available for your peace of mind contact vicki dunn at  functions srgcnetau ,245,set(),0,37,0,time plan year party taking bookings iso functions flexible covid 19 terms conditions available peace mind contact vicki dunn functions srgcnetau,time plan end year parti take book end iso function flexibl covid 19 term condit avail peac mind contact vicki dunn function srgcnetau,1
1255337898473390080,Impact of COVID-19 on HIV-Associated Lipodystrophy Treatment Market Rapid Growth And ...: Some Of The Prominent Key Players Covered In The HIV-Associated Lipodystrophy ... Phone: US +1-206-701-6702/UK +44-020 8133 4027 ... https://t.co/VDcIFtVLwD,0.25,impact of covid 19 on hiv associated lipodystrophy treatment market rapid growth and   some of the prominent key players covered in the hiv associated lipodystrophy phone  us  1 206 701 6702 uk  44 020 8133 4027,246,set(),0,32,0,impact covid 19 hiv associated lipodystrophy treatment market rapid growth prominent key players covered hiv associated lipodystrophy phone us 1 206 701 6702 uk 44 020 8133 4027,impact covid 19 hiv associ lipodystrophi treatment market rapid growth promin key player cover hiv associ lipodystrophi phone us 1 206 701 6702 uk 44 020 8133 4027,1
1255339536223211520,"Tailgating at Camp Covid on a cool, breezy night. Living at the Bodega Marine Lab is a singular experience. @ Bodega Marine Laboratory - University of California, Davis https://t.co/S1N3tVVc2g",0.35,tailgating at camp covid on a cool breezy night living at the bodega marine lab is a singular experience   bodega marine laboratory university of california davis,192,set(),0,29,0,tailgating camp covid cool breezy night living bodega marine lab singular experience bodega marine laboratory university california davis,tailgat camp covid cool breezi night live bodega marin lab singular experi bodega marin laboratori univers california davi,1
1255339600446398465,"TURN OFF SA COVID, ON NA ON SA SQUID: Fresh na fresh from the blue seawaters of Oroquieta City... Reintroducing, the City of Good Life's LUMYAGAN!

📸 Sir Louie #oroquietacity #misamisoccidental @ Oroquieta - The City… https://t.co/cWiTjxLP5l",0.36875,turn off sa covid on na on sa squid  fresh na fresh from the blue seawaters of oroquieta city reintroducing the city of good life's lumyagan    sir louie  oroquietacity  misamisoccidental   oroquieta the city ,241,"{'misamisoccidental', 'oroquietacity'}",2,37,0,turn covid squid fresh fresh blue seawaters oroquieta city reintroducing city good life 's lumyagan sir louie oroquietacity misamisoccidental oroquieta city,turn sa covid na sa squid fresh na fresh blue seawat oroquieta citi reintroduc citi good life' lumyagan sir louie oroquietac misamisoccident oroquieta citi,1
1255339834224381952,"If self isolation works for COVID-19, maybe we can try it for other things that suck and should go extinct.   Not going to sydney fireworks.  Not going to stag parties.  Not going to Ultra-budget airlines.  Not going to any sport that pays male players more than women.",-0.006250000000000006,if self isolation works for covid 19 maybe we can try it for other things that suck and should go extinct not going to sydney fireworks not going to stag parties not going to ultra budget airlines not going to any sport that pays male players more than women,269,set(),0,47,0,self isolation works covid 19 maybe try things suck go extinct going sydney fireworks going stag parties going ultra budget airlines going sport pays male players women,self isol work covid 19 mayb tri thing suck go extinct go sydney firework go stag parti go ultra budget airlin go ani sport pay male player women,-1
1255340196532498432,North Hollywood:  In continue Efforts to Save the Noho Arts District here in North Hollywood  We have discovered that the local Theatres are on the verge of Extinction due to the Coronavirus shutdown  Some of these… https://t.co/9H8QAdZnGd,-0.0625,north hollywood  in continue efforts to save the noho arts district here in north hollywood we have discovered that the local theatres are on the verge of extinction due to the coronavirus shutdown some of these ,239,set(),0,37,0,north hollywood continue efforts save noho arts district north hollywood discovered local theatres verge extinction due coronavirus shutdown,north hollywood continu effort save noho art district north hollywood discov local theatr verg extinct due coronaviru shutdown,-1
1255340357912604674,"Coronavirus self quarantine day 43: I can't express how bad we need an interpreter around these parts. They even made a Tiktok about us. The struggle is real y'all! 
On another note, I have enjoyed my virtual happy… https://t.co/KMcIpoU4Zm",0.21250000000000005,coronavirus self quarantine day 43  i can't express how bad we need an interpreter around these parts they even made a tiktok about us the struggle is real y'all  on another note i have enjoyed my virtual happy ,239,set(),0,39,0,coronavirus self quarantine day 43 n't express bad need interpreter around parts even made tiktok us struggle real y'all another note enjoyed virtual happy,coronaviru self quarantin day 43 can't express bad need interpret around part even made tiktok us struggl real y'all anoth note enjoy virtual happi,1
1255340507280158721,"Your girl is extra thicccc right now 🥵 
the hubby and I got carried away with the whiskey during quarantine😂😳
But I’m SO PUMPED to get back at it 👊🏽💢
#thicc #wca #oc #weslipupsometimes #covid #tuesday @ West Coast… https://t.co/hdIvmYorQN",0.09523809523809523,your girl is extra thicccc right now   the hubby and i got carried away with the whiskey during quarantine   but i m so pumped to get back at it      thicc  wca  oc  weslipupsometimes  covid  tuesday   west coast ,238,"{'covid', 'wca', 'weslipupsometimes', 'oc', 'tuesday', 'thicc'}",6,40,-1,girl extra thicccc right hubby got carried away whiskey quarantine pumped get back thicc wca oc weslipupsometimes covid tuesday west coast,girl extra thiccc right hubbi got carri away whiskey dure quarantin pump get back thicc wca oc weslipupsometim covid tuesday west coast,1
1255341088107376640,"ข้าวผัด กิมจิ 🥘 Kimchi fried rice by me 👍😊 Staying at home is always better than going out now cause Coronavirus Disease 2019 (COVID -19) 👍  #eatalone #koreanfood #koreanfriedrice 
#noodles #food #asianfood #foodie… https://t.co/PFzWzYmQNF",0.5,                kimchi fried rice by me    staying at home is always better than going out now cause coronavirus disease 2019  covid 19     eatalone  koreanfood  koreanfriedrice  noodles  food  asianfood  foodie ,239,"{'asianfood', 'food', 'koreanfood', 'koreanfriedrice', 'foodie…', 'eatalone', 'noodles'}",7,34,3,kimchi fried rice staying home always better going cause coronavirus disease 2019 covid 19 eatalone koreanfood koreanfriedrice noodles food asianfood foodie,kimchi fri rice stay home alway better go caus coronaviru diseas 2019 covid 19 eatalon koreanfood koreanfriedric noodl food asianfood foodi,1
1255342266744549376,"Experiential middle school a la COVID-19. Three snakes in two days-must be coming out to enjoy the sunshine. @ Corvallis, Oregon https://t.co/nwI4FIhCgs",0.2,experiential middle school a la covid 19 three snakes in two days must be coming out to enjoy the sunshine   corvallis oregon,152,set(),0,22,0,experiential middle school covid 19 three snakes two days must coming enjoy sunshine corvallis oregon,experienti middl school la covid 19 three snake two day must come enjoy sunshin corval oregon,1
